Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.61,symmetric,0.2942091612398361
75% Corpus,4,0.9099999999999999,0.01,0.24010167963599333
75% Corpus,4,0.9099999999999999,0.31,0.23833562659638677
75% Corpus,4,0.9099999999999999,0.61,0.21567373589187538
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.20842044347715308
75% Corpus,4,0.9099999999999999,symmetric,0.21567373589187538
75% Corpus,4,symmetric,0.01,0.33854518863791183
75% Corpus,4,symmetric,0.31,0.34002791096075086
75% Corpus,4,symmetric,0.61,0.3268169528099376
75% Corpus,4,symmetric,0.9099999999999999,0.33751155845539915
75% Corpus,4,symmetric,symmetric,0.33596281389456595
75% Corpus,4,asymmetric,0.01,0.34616052133089936
75% Corpus,4,asymmetric,0.31,0.3972921690048665
75% Corpus,4,asymmetric,0.61,0.3678762298566135
75% Corpus,4,asymmetric,0.9099999999999999,0.33579604854158074
75% Corpus,4,asymmetric,symmetric,0.40198385873244374
75% Corpus,5,0.01,0.01,0.3102189093986281
75% Corpus,5,0.01,0.31,0.2902756693819571
75% Corpus,5,0.01,0.61,0.2856859943173501
75% Corpus,5,0.01,0.9099999999999999,0.2898323929563781
75% Corpus,5,0.01,symmetric,0.29903671592587183
75% Corpus,5,0.31,0.01,0.3094338739604162
75% Corpus,5,0.31,0.31,0.30270236121275285
75% Corpus,5,0.31,0.61,0.30628766335561536
75% Corpus,5,0.31,0.9099999999999999,0.2940997678628512
75% Corpus,5,0.31,symmetric,0.30644197854714667
75% Corpus,5,0.61,0.01,0.2734649321563489
75% Corpus,5,0.61,0.31,0.273325734572614
75% Corpus,5,0.61,0.61,0.27464512258046353
75% Corpus,5,0.61,0.9099999999999999,0.2593107505363731
75% Corpus,5,0.61,symmetric,0.26719485464328335
75% Corpus,5,0.9099999999999999,0.01,0.20537039590025552
75% Corpus,5,0.9099999999999999,0.31,0.2137329895050438
75% Corpus,5,0.9099999999999999,0.61,0.2039882118842053
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.19439481095712546
75% Corpus,5,0.9099999999999999,symmetric,0.2095562750113357
75% Corpus,5,symmetric,0.01,0.298399132830121
75% Corpus,5,symmetric,0.31,0.3339939643622205
75% Corpus,5,symmetric,0.61,0.28319976102046746
75% Corpus,5,symmetric,0.9099999999999999,0.3355853573832762
75% Corpus,5,symmetric,symmetric,0.3030546010776374
75% Corpus,5,asymmetric,0.01,0.37205562328011843
75% Corpus,5,asymmetric,0.31,0.37822096261660054
75% Corpus,5,asymmetric,0.61,0.38687594943729237
75% Corpus,5,asymmetric,0.9099999999999999,0.3452518491922428
75% Corpus,5,asymmetric,symmetric,0.41759166982891005
75% Corpus,6,0.01,0.01,0.28683006461524996
75% Corpus,6,0.01,0.31,0.25712710731250216
75% Corpus,6,0.01,0.61,0.2895041474106603
75% Corpus,6,0.01,0.9099999999999999,0.27203518823242095
75% Corpus,6,0.01,symmetric,0.27801153325567307
75% Corpus,6,0.31,0.01,0.28454453685196834
75% Corpus,6,0.31,0.31,0.2898916771190025
75% Corpus,6,0.31,0.61,0.2817847581905704
75% Corpus,6,0.31,0.9099999999999999,0.27759714423895177
75% Corpus,6,0.31,symmetric,0.2829194385520564
75% Corpus,6,0.61,0.01,0.2622955844274722
75% Corpus,6,0.61,0.31,0.25823234011348406
75% Corpus,6,0.61,0.61,0.2557557425635831
75% Corpus,6,0.61,0.9099999999999999,0.25222600378893956
75% Corpus,6,0.61,symmetric,0.26357810112531194
75% Corpus,6,0.9099999999999999,0.01,0.18730724023858583
75% Corpus,6,0.9099999999999999,0.31,0.18794768525874347
75% Corpus,6,0.9099999999999999,0.61,0.19847519150448434
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.18873751348121168
75% Corpus,6,0.9099999999999999,symmetric,0.1891425768028968
75% Corpus,6,symmetric,0.01,0.2904514232306615
75% Corpus,6,symmetric,0.31,0.29556038597905104
75% Corpus,6,symmetric,0.61,0.27848248306184614
75% Corpus,6,symmetric,0.9099999999999999,0.2842092000315871
75% Corpus,6,symmetric,symmetric,0.2910310165410642
75% Corpus,6,asymmetric,0.01,0.33545506901266303
75% Corpus,6,asymmetric,0.31,0.3803411806324218
75% Corpus,6,asymmetric,0.61,0.370355075420915
75% Corpus,6,asymmetric,0.9099999999999999,0.34302033924768044
75% Corpus,6,asymmetric,symmetric,0.36957529563956126
75% Corpus,7,0.01,0.01,0.3184562429369576
75% Corpus,7,0.01,0.31,0.30919909177021804
75% Corpus,7,0.01,0.61,0.3372693250328984
75% Corpus,7,0.01,0.9099999999999999,0.33006723417443135
75% Corpus,7,0.01,symmetric,0.31089564593485014
75% Corpus,7,0.31,0.01,0.27441387870582673
75% Corpus,7,0.31,0.31,0.2719127338525791
75% Corpus,7,0.31,0.61,0.2752378668680781
75% Corpus,7,0.31,0.9099999999999999,0.2754225409748769
75% Corpus,7,0.31,symmetric,0.27167340641327353
75% Corpus,7,0.61,0.01,0.26532952585810465
75% Corpus,7,0.61,0.31,0.2500612860784
75% Corpus,7,0.61,0.61,0.25569268718079907
75% Corpus,7,0.61,0.9099999999999999,0.2468489216659744
